sentence,label
PersonX be not play now result in PersonX can not check. PersonX will not play and PersonX be ready share significant difference regarding some property. PersonX will not play happens before PersonX be ready. PersonX will not play happens because PersonX be not play now. PersonX will not play is an alternative situation to the strike be settle.,1
PersonX be the same PersonZ happens the same time as PersonY be the same PersonA. PersonX be the same PersonZ and PersonY would not have know PersonX share significant difference regarding some property.,1
PersonX body give out happens because PersonX have a eating disorder. PersonX body give out result in PersonX can not enjoy life anymore. PersonX body give out is an alternative situation to PersonX die.,0
PersonX can not give one star result in PersonX give one. PersonX can not give one star happens because the service suck. PersonX have one star happens because the service center be good. PersonX have one star happens because PersonX have too. PersonX have one star happens because PersonX can not give one star.,1
PersonX can not tell PeopleX apart happens because PersonX can not see PeopleX gum. PersonX can not tell PeopleX apart happens because PeopleX do not smile. PersonX can not tell PeopleX apart is an alternative situation to PersonX know the secret. PersonY can not tell PeopleX apart happens because PeopleX do not smile. PeopleX make olive oil out oil result in PersonX can not tell PeopleX apart. PeopleX make olive oil out oil result in PersonY can not tell PeopleX apart. PeopleX do not smile result in PersonX can not see PeopleX gum.,0
PersonX could kill PersonZ happens the same time as PersonY turn away. PersonX could kill PersonZ and PersonY would take PersonZ place share significant difference regarding some property. PersonX could kill PersonZ happens before PersonY even reach PersonX.,1
PersonX do not mean to be a asshole and PersonX be under the impression share significant difference regarding some property. PersonX do not mean to be a asshole and PersonX check out PersonY post history share significant difference regarding some property. PersonX do not mean to be a asshole and just the way thing be share significant difference regarding some property. PersonX check out PersonY post history happens the same time as now PersonX see. PersonX check out PersonY post history happens the same time as PeopleX have the same lingerie.,1
PersonX do not provide one is a preferred alternative situation to PersonX mention again. PersonX do not provide one is a preferred alternative situation to PersonX be just voice complainer ' view. PersonX do not provide one and PersonX ask for one share significant difference regarding some property.,1
PersonX do not read the review result in PersonX be expect a restaurant. PersonX do not read the review happens before PersonX book. PersonX do not read the review happens because PersonX do not experience any.,1
PersonX do not want to go to school result in PersonX stay home. PersonX do not want to go to school and PersonY never tell PersonX share significant difference regarding some property. PersonX do not want to go to school and PersonX would go now to pap share significant difference regarding some property.,1
"PersonX fall off is an alternative situation to PersonY kinda. When PersonX fall off happens, PersonX would be electrocute can happen. When PersonX fall down happens, PersonX would be electrocute can happen. When PersonX try to move happens, PersonX would be electrocute can happen.",1
PersonX go for PersonY and PersonY have not come soon both happen. PersonY spook PersonX and PersonY shoot PersonX both happen. PersonY spook PersonX and PersonX go for PersonY both happen. PersonY spook PersonX happens the same time as PersonX do not like PersonY.,1
PersonX have a heart problem result in PersonX can not partake. the americans be very nice happens because PersonX have a heart problem. the americans be very nice happens because PersonY have a heart problem.,1
"PersonX have a triumph happens the same time as PersonX go home. When PersonX would not listen to reason happens, PersonX have a triumph can happen. PersonX would not listen to reason happens because PersonX propose. PersonX would not listen to reason result in PersonX deserve. When PeopleX could take happens, PersonX would not listen to reason can happen.",1
PersonX have be act strange ever happens after PeopleX get home. PersonX have be act strange ever happens after PersonX come back from trip. PersonX have be act strange ever happens after PersonY be fall for PersonX.,1
PersonX have go a quarter of mile happens before PersonX turn to go back. PersonX have go a quarter of mile happens before PersonX have be tryin.,1
PersonX have no future happens because PersonX be go to die soon. PersonX have no future happens because PersonX be break time. PersonX have no future and PersonX have boob share significant difference regarding some property. PersonX just want to change happens because PersonX have no future. PersonX just want to change happens before PeopleX go to office.,1
PersonX have no idea wtf happens before PersonX see the answer. PersonX have no idea wtf happens because PersonX drift off to sleep.,0
